@relation german_credit

@attribute over_draft {<0,0<=X<200,>=200,'no checking'}
@attribute credit_usage numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute current_balance numeric
@attribute Average_Credit_Balance {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute location numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute cc_age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
0<=X<200,18,'critical/other existing credit',furniture/equipment,3612,<100,>=7,3,'female div/dep/mar',none,4,'life insurance',37,none,own,1,skilled,1,yes,yes,good
'no checking',18,'existing paid',business,1568,100<=X<500,1<=X<4,3,'female div/dep/mar',none,4,'life insurance',24,none,rent,1,'unskilled resident',1,none,yes,good
'no checking',10,'existing paid','new car',1597,500<=X<1000,1<=X<4,3,'male single',none,2,'no known property',40,none,rent,1,'unskilled resident',2,none,no,good
<0,24,'existing paid',furniture/equipment,7721,'no known savings',<1,1,'female div/dep/mar',none,2,'life insurance',30,none,own,1,skilled,1,yes,no,good
'no checking',12,'existing paid',radio/tv,804,<100,>=7,4,'male single',none,4,car,38,none,own,1,skilled,1,none,yes,good
0<=X<200,36,'delayed previously',business,9857,100<=X<500,4<=X<7,1,'male single',none,3,'life insurance',31,none,own,2,'unskilled resident',2,yes,yes,good
>=200,12,'existing paid',radio/tv,3399,'no known savings',>=7,2,'male single',none,3,car,37,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good
<0,18,'existing paid','new car',4380,100<=X<500,1<=X<4,3,'male single',none,4,car,35,none,own,1,'unskilled resident',2,yes,yes,good
<0,39,'critical/other existing credit',furniture/equipment,14179,'no known savings',4<=X<7,4,'male single',none,4,'life insurance',30,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',18,'critical/other existing credit',radio/tv,1098,<100,unemployed,4,'female div/dep/mar',none,4,car,65,none,own,2,'unemp/unskilled non res',1,none,yes,good
'no checking',9,'critical/other existing credit','new car',2134,<100,1<=X<4,4,'male single',none,4,car,48,none,own,3,skilled,1,yes,yes,good
0<=X<200,18,'existing paid',repairs,3872,<100,unemployed,2,'female div/dep/mar',none,4,car,67,none,own,1,skilled,1,yes,yes,good
'no checking',30,'critical/other existing credit',radio/tv,4530,<100,4<=X<7,4,'female div/dep/mar',none,4,car,26,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',12,'existing paid',radio/tv,2141,100<=X<500,4<=X<7,3,'male single',none,1,'no known property',35,none,own,1,skilled,1,none,yes,good
'no checking',24,'existing paid',radio/tv,2284,<100,4<=X<7,4,'male single',none,2,car,28,none,own,1,skilled,1,yes,yes,good
0<=X<200,36,'critical/other existing credit','used car',5800,<100,1<=X<4,3,'male single',none,4,car,34,none,own,2,skilled,1,yes,yes,good
>=200,36,'existing paid',radio/tv,4473,<100,>=7,4,'male single',none,2,car,31,none,own,1,skilled,1,none,yes,good
0<=X<200,9,'existing paid',radio/tv,790,500<=X<1000,1<=X<4,4,'female div/dep/mar',none,3,'real estate',66,none,own,1,'unskilled resident',1,none,yes,good
<0,6,'critical/other existing credit','new car',609,<100,4<=X<7,4,'female div/dep/mar',none,3,'life insurance',37,none,own,2,skilled,1,none,no,good
0<=X<200,6,'existing paid',radio/tv,1068,<100,>=7,4,'male single',none,4,car,28,none,own,1,skilled,2,none,yes,good
'no checking',36,'no credits/all paid',repairs,2613,<100,1<=X<4,4,'male single',none,2,car,27,none,own,2,skilled,1,none,yes,good
<0,24,'existing paid','used car',2812,'no known savings',>=7,2,'female div/dep/mar',none,4,'real estate',26,none,rent,1,skilled,1,none,yes,good
<0,24,'existing paid',business,6568,<100,1<=X<4,2,'male mar/wid',none,2,car,21,stores,own,1,'unskilled resident',1,none,yes,good
0<=X<200,10,'all paid',radio/tv,1048,<100,1<=X<4,4,'male single',none,4,'real estate',23,stores,own,1,'unskilled resident',1,none,yes,good
'no checking',15,'critical/other existing credit',radio/tv,1829,<100,>=7,4,'male single',none,4,car,46,none,own,2,skilled,1,yes,yes,good
'no checking',10,'critical/other existing credit','new car',1231,<100,>=7,3,'male single',none,4,'real estate',32,none,own,2,'unskilled resident',2,none,no,good
0<=X<200,12,'critical/other existing credit','domestic appliance',1424,<100,4<=X<7,4,'male single',none,3,'life insurance',26,none,own,1,skilled,1,none,yes,good
'no checking',36,'existing paid',radio/tv,3595,<100,>=7,4,'male single',none,2,car,28,none,own,1,skilled,1,none,yes,good
<0,13,'critical/other existing credit',business,1797,<100,<1,3,'male single',none,1,'life insurance',28,bank,own,2,'unskilled resident',1,none,yes,good
0<=X<200,18,'critical/other existing credit',radio/tv,1795,<100,>=7,3,'female div/dep/mar',guarantor,4,'real estate',48,bank,rent,2,'unskilled resident',1,yes,yes,good
'no checking',10,'existing paid','new car',1364,<100,1<=X<4,2,'female div/dep/mar',none,4,car,64,none,own,1,skilled,1,yes,yes,good
'no checking',24,'existing paid','new car',1393,<100,1<=X<4,2,'male single',guarantor,2,'real estate',31,none,own,1,skilled,1,yes,yes,good
'no checking',6,'critical/other existing credit','new car',6761,<100,4<=X<7,1,'male single',none,3,'no known property',45,none,own,2,'high qualif/self emp/mgmt',2,yes,yes,good
0<=X<200,36,'existing paid',education,2273,<100,4<=X<7,3,'male single',none,1,car,32,none,own,2,skilled,2,none,yes,good
'no checking',30,'critical/other existing credit',radio/tv,6742,'no known savings',4<=X<7,2,'male single',none,3,'life insurance',36,none,own,2,skilled,1,none,yes,good
<0,27,'critical/other existing credit',business,2442,<100,>=7,4,'male single',none,4,car,43,stores,own,4,'high qualif/self emp/mgmt',2,yes,yes,good
'no checking',6,'existing paid',repairs,660,500<=X<1000,4<=X<7,2,'male mar/wid',none,4,'real estate',23,none,rent,1,'unskilled resident',1,none,yes,good
0<=X<200,48,'all paid',business,3566,100<=X<500,4<=X<7,4,'male single',none,2,car,30,none,own,1,skilled,1,none,yes,good
'no checking',18,'critical/other existing credit',radio/tv,1800,<100,1<=X<4,4,'male single',none,2,car,24,none,own,2,skilled,1,none,yes,good
'no checking',18,'existing paid',radio/tv,1453,<100,<1,3,'female div/dep/mar',none,1,'real estate',26,none,own,1,skilled,1,none,yes,good
'no checking',9,'existing paid',furniture/equipment,1313,<100,>=7,1,'male single',none,4,car,20,none,own,1,skilled,1,none,yes,good
'no checking',18,'critical/other existing credit',radio/tv,1169,'no known savings',1<=X<4,4,'male single',none,3,'life insurance',29,none,own,2,skilled,1,yes,yes,good
'no checking',36,'existing paid',business,5742,100<=X<500,4<=X<7,2,'male single',none,2,car,31,none,own,2,skilled,1,yes,yes,good
0<=X<200,12,'existing paid',radio/tv,1092,<100,1<=X<4,4,'female div/dep/mar',guarantor,4,'real estate',49,none,own,2,skilled,1,yes,yes,good
'no checking',24,'existing paid',retraining,937,<100,<1,4,'male mar/wid',none,3,car,27,none,own,2,'unskilled resident',1,none,yes,good
0<=X<200,36,'existing paid',education,12612,100<=X<500,1<=X<4,1,'male single',none,4,'no known property',47,none,'for free',1,skilled,2,yes,yes,bad
<0,12,'all paid','new car',697,<100,<1,4,'male single',none,2,car,46,bank,own,2,skilled,1,yes,yes,bad
<0,18,'existing paid',radio/tv,1345,<100,1<=X<4,4,'male mar/wid',none,3,'real estate',26,bank,own,1,skilled,1,none,yes,bad
0<=X<200,45,'existing paid',radio/tv,3031,100<=X<500,1<=X<4,4,'male single',guarantor,4,'life insurance',21,none,rent,1,skilled,1,none,yes,bad
<0,12,'existing paid',education,684,<100,1<=X<4,4,'male single',none,4,car,40,none,rent,1,'unskilled resident',2,none,yes,bad
<0,12,'no credits/all paid',radio/tv,6199,<100,1<=X<4,4,'male single',none,2,'life insurance',28,none,rent,2,skilled,1,yes,yes,bad
0<=X<200,12,'existing paid',furniture/equipment,1922,<100,1<=X<4,4,'male single',none,2,'life insurance',37,none,own,1,'unskilled resident',1,none,yes,bad
<0,48,'existing paid',radio/tv,6999,<100,4<=X<7,1,'male mar/wid',guarantor,1,'real estate',34,none,own,2,skilled,1,yes,yes,bad
<0,24,'existing paid','new car',1285,'no known savings',4<=X<7,4,'female div/dep/mar',none,4,'no known property',32,none,rent,1,skilled,1,none,yes,bad
<0,6,'existing paid',education,448,<100,<1,4,'female div/dep/mar',none,4,'life insurance',23,none,own,1,skilled,1,none,yes,bad
'no checking',12,'critical/other existing credit',business,2292,<100,unemployed,4,'male single',none,2,car,42,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',24,'existing paid',business,4591,>=1000,1<=X<4,2,'male single',none,3,'life insurance',54,none,own,3,'high qualif/self emp/mgmt',1,yes,yes,bad
0<=X<200,24,'critical/other existing credit',business,1935,<100,>=7,4,'male div/sep',none,4,'real estate',31,none,own,2,skilled,1,yes,yes,bad
<0,18,'existing paid',radio/tv,1882,<100,1<=X<4,4,'female div/dep/mar',none,4,car,25,bank,rent,2,skilled,1,none,yes,bad
0<=X<200,36,'delayed previously','new car',8086,100<=X<500,>=7,2,'male single',none,4,car,42,none,own,4,'high qualif/self emp/mgmt',1,yes,yes,bad
<0,6,'critical/other existing credit',furniture/equipment,3384,<100,1<=X<4,1,'male div/sep',none,4,'real estate',44,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,bad
0<=X<200,12,'existing paid',radio/tv,1534,<100,<1,1,'male mar/wid',none,1,'real estate',23,none,rent,1,skilled,1,none,yes,bad
<0,6,'existing paid','new car',14896,<100,>=7,1,'male single',none,4,'no known property',68,bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad
0<=X<200,48,'existing paid',furniture/equipment,9960,<100,<1,1,'female div/dep/mar',none,2,car,26,none,own,1,skilled,1,yes,yes,bad
'no checking',21,'delayed previously',business,2580,500<=X<1000,<1,4,'male single',none,2,'real estate',41,bank,own,1,'unskilled resident',2,none,yes,bad
0<=X<200,12,'delayed previously',radio/tv,585,<100,1<=X<4,4,'male mar/wid','co applicant',4,'real estate',20,none,rent,2,skilled,1,none,yes,good
<0,12,'existing paid',education,1200,'no known savings',1<=X<4,4,'female div/dep/mar',none,4,'life insurance',23,bank,rent,1,skilled,1,yes,yes,good
'no checking',24,'critical/other existing credit',education,1597,<100,>=7,4,'male single',none,4,'no known property',54,none,'for free',2,skilled,2,none,yes,good
0<=X<200,18,'critical/other existing credit',furniture/equipment,7374,<100,unemployed,4,'male single',none,4,'life insurance',40,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,good
0<=X<200,9,'existing paid',furniture/equipment,2030,'no known savings',4<=X<7,2,'male single',none,1,car,24,none,own,1,skilled,1,yes,yes,good
'no checking',22,'existing paid',radio/tv,2675,500<=X<1000,>=7,3,'male single',none,4,car,40,none,own,1,skilled,1,none,yes,good
'no checking',12,'critical/other existing credit',education,3565,'no known savings',<1,2,'male single',none,1,'life insurance',37,none,own,2,'unskilled resident',2,none,yes,good
'no checking',48,'all paid',business,3609,<100,1<=X<4,1,'female div/dep/mar',none,1,'real estate',27,stores,own,1,skilled,1,none,yes,good
'no checking',9,'existing paid',furniture/equipment,1388,<100,1<=X<4,4,'female div/dep/mar',none,2,'real estate',26,none,rent,1,skilled,1,none,yes,good
'no checking',24,'critical/other existing credit',radio/tv,2611,<100,>=7,4,'male mar/wid','co applicant',3,'real estate',46,none,own,2,skilled,1,none,yes,good
'no checking',24,'critical/other existing credit','used car',2346,<100,4<=X<7,4,'male single',none,3,car,35,none,own,2,skilled,1,yes,yes,good
'no checking',6,'existing paid',radio/tv,1346,100<=X<500,>=7,2,'male single',none,4,'no known property',42,bank,'for free',1,skilled,2,yes,yes,good
0<=X<200,12,'existing paid',furniture/equipment,3017,<100,<1,3,'female div/dep/mar',none,1,'real estate',34,none,rent,1,'high qualif/self emp/mgmt',1,none,yes,good
>=200,12,'existing paid',furniture/equipment,1424,'no known savings',>=7,3,'female div/dep/mar',none,4,'real estate',55,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
<0,24,'critical/other existing credit','used car',6419,<100,>=7,2,'female div/dep/mar',none,4,'no known property',44,none,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,good
<0,9,'critical/other existing credit','new car',2799,<100,1<=X<4,2,'male single',none,2,'real estate',36,none,rent,2,skilled,2,none,yes,good
>=200,24,'existing paid',radio/tv,1258,500<=X<1000,1<=X<4,3,'female div/dep/mar',none,3,car,57,none,own,1,'unskilled resident',1,none,yes,good
>=200,9,'existing paid',radio/tv,1126,100<=X<500,>=7,2,'male div/sep',none,4,'real estate',49,none,own,1,skilled,1,none,yes,good
<0,18,'existing paid',radio/tv,1936,'no known savings',4<=X<7,2,'male mar/wid',none,4,car,23,none,rent,2,'unskilled resident',1,none,yes,good
'no checking',15,'existing paid',furniture/equipment,2708,<100,<1,2,'male single',none,3,'life insurance',27,bank,own,2,'unskilled resident',1,none,yes,good
<0,15,'existing paid','new car',1721,<100,<1,2,'male single',none,3,'real estate',36,none,own,1,skilled,1,none,yes,good
'no checking',6,'critical/other existing credit',radio/tv,1554,<100,4<=X<7,1,'female div/dep/mar',none,2,car,24,none,rent,2,skilled,1,yes,yes,good
<0,12,'existing paid',radio/tv,1107,<100,1<=X<4,2,'male single',none,2,'real estate',20,none,rent,1,'high qualif/self emp/mgmt',2,yes,yes,good
'no checking',15,'critical/other existing credit',radio/tv,1360,<100,1<=X<4,4,'male single',none,2,'life insurance',31,none,own,2,skilled,1,none,yes,good
'no checking',30,'critical/other existing credit','used car',7596,'no known savings',>=7,1,'male single',none,4,car,63,none,own,2,skilled,1,none,yes,good
>=200,12,'critical/other existing credit','new car',1480,500<=X<1000,unemployed,2,'male single',none,4,'no known property',66,bank,'for free',3,'unemp/unskilled non res',1,none,yes,good
<0,20,'existing paid',furniture/equipment,2212,'no known savings',4<=X<7,4,'male single',none,4,car,39,none,own,1,skilled,1,yes,yes,good
'no checking',24,'existing paid','new car',1525,>=1000,4<=X<7,4,'female div/dep/mar',none,3,car,34,none,own,1,skilled,2,yes,yes,good
<0,36,'existing paid',furniture/equipment,3620,<100,1<=X<4,1,'male single',guarantor,2,'life insurance',37,none,own,1,skilled,2,none,yes,good
'no checking',10,'critical/other existing credit',furniture/equipment,2069,'no known savings',1<=X<4,2,'male mar/wid',none,1,car,26,none,own,2,skilled,1,none,no,good
0<=X<200,18,'delayed previously',business,2427,'no known savings',>=7,4,'male single',none,2,'life insurance',42,none,own,2,skilled,1,none,yes,good
'no checking',20,'critical/other existing credit','new car',3485,'no known savings',<1,2,'male div/sep',none,4,'real estate',44,none,own,2,skilled,1,yes,yes,good
0<=X<200,16,'critical/other existing credit','new car',1175,<100,unemployed,2,'male single',none,3,car,68,none,'for free',3,'unemp/unskilled non res',1,yes,yes,good
0<=X<200,24,'delayed previously',radio/tv,6403,<100,<1,1,'male single',none,2,car,33,none,own,1,skilled,1,none,yes,good
<0,36,'existing paid',other,15857,<100,unemployed,2,'male div/sep','co applicant',3,car,43,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good
'no checking',12,'existing paid','used car',1413,>=1000,4<=X<7,3,'male single',none,2,'life insurance',55,none,own,1,skilled,1,none,no,good
'no checking',15,'all paid',radio/tv,1569,100<=X<500,>=7,4,'male single',none,4,car,34,bank,own,1,'unskilled resident',2,none,yes,good
<0,6,'existing paid','domestic appliance',343,<100,<1,4,'female div/dep/mar',none,1,'real estate',27,none,own,1,skilled,1,none,yes,good
'no checking',6,'critical/other existing credit',radio/tv,1382,<100,1<=X<4,1,'female div/dep/mar',none,1,car,28,none,own,2,skilled,1,yes,yes,good
0<=X<200,12,'existing paid',radio/tv,1158,500<=X<1000,1<=X<4,3,'male div/sep',none,1,car,26,none,own,1,skilled,1,yes,yes,good
'no checking',24,'critical/other existing credit','new car',2463,100<=X<500,4<=X<7,4,'male mar/wid',none,3,'life insurance',27,none,own,2,skilled,1,yes,yes,good
0<=X<200,9,'existing paid','new car',1549,'no known savings',<1,4,'male single',none,2,'real estate',35,none,own,1,'unemp/unskilled non res',1,none,yes,good
0<=X<200,15,'critical/other existing credit',radio/tv,2728,'no known savings',4<=X<7,4,'male single',guarantor,2,'real estate',35,bank,own,3,skilled,1,yes,yes,good
<0,6,'existing paid','new car',1374,'no known savings',unemployed,4,'female div/dep/mar',none,3,'life insurance',75,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',12,'existing paid','new car',2133,'no known savings',>=7,4,'female div/dep/mar',none,4,'no known property',52,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',11,'critical/other existing credit',radio/tv,1154,100<=X<500,unemployed,4,'female div/dep/mar',none,4,'real estate',57,none,own,3,'unskilled resident',1,none,yes,good
